Animal,SNP G,Genotypic Value G,SNP H,Genotypic Value H,Observation
1,$G_1G_1$,$a_G$,$H_1H_2$,$0$,510
2,$G_1G_2$,$0$,$H_1H_1$,$a_H$,528
3,$G_1G_2$,$0$,$H_1H_1$,$a_H$,505
4,$G_1G_1$,$a_G$,$H_2H_2$,$-a_H$,539
5,$G_1G_1$,$a_G$,$H_1H_1$,$a_H$,530
6,$G_1G_2$,$0$,$H_1H_2$,$0$,489
7,$G_1G_2$,$0$,$H_2H_2$,$-a_H$,486
8,$G_2G_2$,$-a_G$,$H_1H_1$,$a_H$,485
9,$G_1G_2$,$0$,$H_2H_2$,$-a_H$,478
10,$G_2G_2$,$-a_G$,$H_1H_2$,$0$,479
11,$G_1G_1$,$a_G$,$H_1H_2$,$0$,520
12,$G_1G_1$,$a_G$,$H_1H_1$,$a_H$,521
13,$G_2G_2$,$-a_G$,$H_1H_2$,$0$,473
14,$G_2G_2$,$-a_G$,$H_1H_2$,$0$,457
15,$G_1G_2$,$0$,$H_1H_1$,$a_H$,497
16,$G_1G_2$,$0$,$H_1H_2$,$0$,516
17,$G_1G_1$,$a_G$,$H_1H_2$,$0$,524
18,$G_1G_1$,$a_G$,$H_1H_2$,$0$,502
19,$G_1G_1$,$a_G$,$H_2H_2$,$-a_H$,508
20,$G_1G_2$,$0$,$H_1H_2$,$0$,506
